star_id,ra,dec,pmra,epmra,pmdec,epmdec,plx,eplx,mz,ez,my,ey,mj,ej,mh,eh,mk,ek,probability,cluster
7087,247.233287948122,-49.0395685371315,2.25852656364441,0.0644233003258705,-4.34633636474609,0.0454632863402367,0.863305509090424,0.0552222020924091,,0.0192561523533377,,0.016188920083557,14.4287004470825,0.0161281668346658,14.0174999237061,0.0192561523533377,13.9015998840332,0.0171044117096783,1,NGC_6134
7088,247.247596408992,-49.051708177182,2.46534395217896,0.0877176746726036,-4.37533283233643,0.054257083684206,0.786431968212128,0.0726577565073967,,0.0197577947587677,,0.0172768312519295,14.7125997543335,0.0166525608904869,14.2481002807617,0.0197577947587677,14.1134004592896,0.0171232895421113,1,NGC_6134
7089,247.218834050087,-49.0847600798497,1.89276814460754,0.0257678925991058,-4.39741086959839,0.0170700009912252,0.915377080440521,0.0211018398404121,,0.0184277422731663,,0.0153047392016001,12.6056003570557,0.0161305513848639,12.3166773443417,0.0184277422731663,12.2217155710019,0.0184631020993341,1,NGC_6134
7090,247.217407873812,-49.091118055736,2.15153861045837,0.0585074126720428,-4.42001104354858,0.039083655923605,0.780983030796051,0.0481216944754124,18.2371006011963,0.0193312161977748,,0.0162519114701959,14.2320995330811,0.0161451971395239,13.8325004577637,0.0193312161977748,13.7250995635986,0.0162828721830924,1,NGC_6134
7091,247.263876992026,-49.0776348373539,1.99366724491119,0.258636057376862,-4.37546634674072,0.168411433696747,0.847665190696716,0.204350650310516,,0.0308949679759658,13.9415998458862,0.0264375147617484,15.9672002792358,0.0237657276510466,15.2613000869751,0.0308949679759658,15.0645999908447,0.0261512986127705,1,NGC_6134
7092,247.315594503521,-49.045047066833,2.13445520401001,0.0505114607512951,-4.34110879898071,0.0349670387804508,0.91857784986496,0.0406339913606644,,0.0194137432613236,19.8110008239746,0.0162967893603213,14.1374998092651,0.0162098623744252,13.7599000930786,0.0194137432613236,13.6430997848511,0.0159909018431422,1,NGC_6134
7093,247.275111870295,-49.0989797333867,2.50654768943787,0.0389648899435997,-4.19352579116821,0.0236608851701021,0.779057383537292,0.0294466949999332,,0.0183847000113659,15.8092002868652,0.0152389058811543,13.2839002609253,0.0151729087265979,12.9324998855591,0.0183847000113659,12.795599937439,0.0150003595910496,1,NGC_6134
7094,247.194674936528,-49.1163852676314,2.10733032226562,0.0192474666982889,-4.30226278305054,0.0129075599834323,0.857166528701782,0.0164536237716675,,0.0214740784785693,,0.0174673154635664,11.851480835212,0.0306749499500042,11.5902154302597,0.0214740784785693,11.565989374241,0.0288493563983741,1,NGC_6134
7095,247.166309658848,-49.1341006203787,2.40401196479797,0.0366329215466976,-4.47945261001587,0.0250083450227976,0.884588479995728,0.0316177532076836,19.2147006988525,0.0182937915771793,18.5496006011963,0.0158743436477055,13.5403995513916,0.0152383022834558,13.2495002746582,0.0182937915771793,13.1237001419067,0.0149648230245024,1,NGC_6134
7096,247.172697453531,-49.1447458094228,2.71909308433533,0.233442232012749,-4.66009426116943,0.161935478448868,0.793041586875916,0.18998447060585,19.4538993835449,0.0293097896212735,18.3677005767822,0.0255877266659301,15.888500213623,0.0230141068116279,15.181300163269,0.0293097896212735,14.9582004547119,0.024386664095596,1,NGC_6134
7097,247.264455671957,-49.1142539143874,2.15928030014038,0.0906105116009712,-4.49291896820068,0.0604801960289478,0.851924061775208,0.0808880925178528,,0.0196186437828007,,0.0171475100821576,14.1275997161865,0.0171876515606816,13.6223001480103,0.0196186437828007,13.4524002075195,0.0160240108866979,1,NGC_6134
7098,247.259260347888,-49.1316609901734,2.07613444328308,0.124564908444881,-4.39862251281738,0.0794883295893669,0.890425205230713,0.0991823822259903,,0.021922913833173,,0.0191011975674758,15.2398996353149,0.0192833699370308,14.6752996444702,0.021922913833173,14.5174999237061,0.0204078630110375,1,NGC_6134
7099,247.355081662707,-49.0831522059944,2.02452421188354,0.0200046394020319,-4.47823286056519,0.0138139920309186,0.900055468082428,0.0161734446883202,,0.0203002135591814,,0.0165269359947066,12.1446429069801,0.0236953913710879,11.874415435791,0.0203002135591814,11.7739804832762,0.0252935362001974,1,NGC_6134
7100,247.38392110947,-49.0717217656854,2.21261548995972,0.171055555343628,-4.46247100830078,0.11152658611536,0.879146456718445,0.125236719846725,,0.024681573405057,,0.0219374399415723,15.5768995285034,0.0208217586824085,14.9246997833252,0.024681573405057,14.7729997634888,0.0219620957800981,1,NGC_6134
7101,247.378490711096,-49.0985031399407,1.98400068283081,0.0149591835215688,-4.43876504898071,0.0104170683771372,0.878745198249817,0.0131508149206638,,,18.5014991760254,,10.8689405670166,0.0266337385322713,10.5998348617554,,10.4896656265259,0.0201607535121753,1,NGC_6134
7102,247.378490711096,-49.0985031399407,1.9841011762619,0.015090043656528,-4.43929958343506,0.01043601334095,0.878887355327606,0.0131672732532024,,,18.5014991760254,,10.8689405670166,0.0266337385322713,10.5998348617554,,10.4896656265259,0.0201607535121753,1,NGC_6134
7103,247.378490711096,-49.0985031399407,1.98341858386993,0.0150713073089719,-4.43916130065918,0.0104441223666072,0.878833889961243,0.0131780793890357,,,18.5014991760254,,10.8689405670166,0.0266337385322713,10.5998348617554,,10.4896656265259,0.0201607535121753,1,NGC_6134
7104,247.300612467583,-49.1467466664254,2.31721186637878,0.0595627874135971,-4.40572118759155,0.0381943210959435,0.834211945533752,0.054802268743515,17.9568996429443,0.0193984128821929,17.0841999053955,0.0162536137701153,14.1933002471924,0.0162328598167111,13.8066997528076,0.0193984128821929,13.7075996398926,0.0161899820665734,1,NGC_6134
7105,247.276997837177,-49.1691079845113,2.20155048370361,0.0649405419826508,-4.31010961532593,0.0470380522310734,0.841618657112122,0.0558022633194923,20.0296001434326,0.0192767138668429,18.735200881958,0.0161210090521835,14.4995002746582,0.0160861370245293,14.079400062561,0.0192767138668429,13.9405002593994,0.017105544074465,1,NGC_6134
7106,247.320181871743,-49.1554707877078,2.20205760002136,0.0314395315945148,-4.45856380462646,0.0214958172291517,0.894375801086426,0.0275291018188,,0.0183222465596057,19.467399597168,0.0152672650386304,13.1837997436523,0.0151587259725572,12.8915004730225,0.0183222465596057,12.7889995574951,0.0150019910307008,1,NGC_6134
7107,247.688879106757,-48.9910087285005,1.71180415153503,0.18772391974926,-4.3836407661438,0.130206346511841,0.869425117969513,0.15038700401783,18.4382991790771,0.028755011768158,17.7341995239258,0.0234738339423686,15.6823997497559,0.0217409973948903,15.0047998428345,0.028755011768158,14.8148002624512,0.0224442423507066,1,NGC_6134
7108,247.569861021373,-49.03715746936,1.98489010334015,0.0705706849694252,-4.53049182891846,0.0485512763261795,0.863245785236359,0.0597084611654282,,0.0191008209757035,,0.0163873329921067,14.5298004150391,0.0161268294140482,14.0406999588013,0.0191008209757035,13.9052000045776,0.0170944835980405,1,NGC_6134
7109,247.50950269096,-49.0837881860247,2.21477246284485,0.0558962598443031,-4.466721534729,0.0395568683743477,0.877282202243805,0.0517743825912476,,0.0192620819042208,,0.0163361474700136,14.2653999328613,0.0163265223078677,13.8348999023438,0.0192620819042208,13.6868000030518,0.0160970203610715,1,NGC_6134
7110,247.575719746681,-49.0978453788609,2.25210380554199,0.190088912844658,-4.6838207244873,0.128872603178024,0.834773123264313,0.147317737340927,,0.0249023490294197,,0.0218161905469207,15.5373001098633,0.0204805661648928,14.8690004348755,0.0249023490294197,14.6787996292114,0.0211861344312942,1,NGC_6134
7111,247.71314755614,-49.0015583005217,2.24283289909363,0.0819984078407288,-4.36298751831055,0.0592500120401382,0.866888523101807,0.0747869610786438,,0.0196893272190131,19.62619972229,0.0171546896313298,14.6716995239258,0.0164719191193184,14.1989002227783,0.0196893272190131,14.0469999313354,0.0170258897105215,1,NGC_6134
7112,247.712277978216,-49.0098204037234,2.2856707572937,0.0609281249344349,-4.37520027160645,0.0412155315279961,0.913784265518188,0.0507777519524097,,0.0193119614957815,18.8197994232178,0.0162083321869891,14.3823003768921,0.0162070466917331,13.9385004043579,0.0193119614957815,13.8027000427246,0.0167535438017423,1,NGC_6134
7113,247.528843315003,-49.1317976025144,2.35207414627075,0.0767373740673065,-4.28650093078613,0.0486237481236458,0.858633279800415,0.0558795183897018,,0.0191822148286675,,0.0161081698001711,14.4479999542236,0.0160934935145263,14.0040998458862,0.0191822148286675,13.8843002319336,0.0170698962512093,1,NGC_6134
